Div,Date,Time,Day_Time,HomeTeam,AwayTeam,FTR,HTR
BL,18/08/2023,19:30,Noche,Werder Bremen,Bayern Munich,A,A
BL,19/08/2023,14:30,Tarde,Augsburg,M'gladbach,D,D
BL,19/08/2023,14:30,Tarde,Hoffenheim,Freiburg,A,A
BL,19/08/2023,14:30,Tarde,Leverkusen,RB Leipzig,H,H
BL,19/08/2023,14:30,Tarde,Stuttgart,Bochum,H,H
BL,19/08/2023,14:30,Tarde,Wolfsburg,Heidenheim,H,H
BL,19/08/2023,17:30,Tarde,Dortmund,FC Koln,H,D
BL,20/08/2023,14:30,Tarde,Union Berlin,Mainz,H,H
BL,20/08/2023,16:30,Tarde,Ein Frankfurt,Darmstadt,H,H
BL,25/08/2023,19:30,Noche,RB Leipzig,Stuttgart,H,A
BL,26/08/2023,14:30,Tarde,Bochum,Dortmund,D,H
BL,26/08/2023,14:30,Tarde,Darmstadt,Union Berlin,A,A
BL,26/08/2023,14:30,Tarde,FC Koln,Wolfsburg,A,D
BL,26/08/2023,14:30,Tarde,Freiburg,Werder Bremen,H,D
BL,26/08/2023,14:30,Tarde,Heidenheim,Hoffenheim,A,H
BL,26/08/2023,17:30,Tarde,M'gladbach,Leverkusen,A,A
BL,27/08/2023,14:30,Tarde,Mainz,Ein Frankfurt,D,H
BL,27/08/2023,16:30,Tarde,Bayern Munich,Augsburg,H,H
BL,01/09/2023,19:30,Noche,Dortmund,Heidenheim,D,H
BL,02/09/2023,14:30,Tarde,Augsburg,Bochum,D,D
BL,02/09/2023,14:30,Tarde,Hoffenheim,Wolfsburg,H,D
BL,02/09/2023,14:30,Tarde,Leverkusen,Darmstadt,H,D
BL,02/09/2023,14:30,Tarde,Stuttgart,Freiburg,H,H
BL,02/09/2023,14:30,Tarde,Werder Bremen,Mainz,H,H
BL,02/09/2023,17:30,Tarde,M'gladbach,Bayern Munich,A,H
BL,03/09/2023,14:30,Tarde,Ein Frankfurt,FC Koln,D,A
BL,03/09/2023,16:30,Tarde,Union Berlin,RB Leipzig,A,D
BL,15/09/2023,19:30,Noche,Bayern Munich,Leverkusen,D,D
BL,16/09/2023,14:30,Tarde,FC Koln,Hoffenheim,A,A
BL,16/09/2023,14:30,Tarde,Freiburg,Dortmund,A,H
BL,16/09/2023,14:30,Tarde,Mainz,Stuttgart,A,D
BL,16/09/2023,14:30,Tarde,RB Leipzig,Augsburg,H,H
BL,16/09/2023,14:30,Tarde,Wolfsburg,Union Berlin,H,H
BL,16/09/2023,17:30,Tarde,Bochum,Ein Frankfurt,D,D
BL,17/09/2023,14:30,Tarde,Heidenheim,Werder Bremen,H,H
BL,17/09/2023,16:30,Tarde,Darmstadt,M'gladbach,D,H
BL,22/09/2023,19:30,Noche,Stuttgart,Darmstadt,H,H
BL,23/09/2023,14:30,Tarde,Augsburg,Mainz,H,H
BL,23/09/2023,14:30,Tarde,Bayern Munich,Bochum,H,H
BL,23/09/2023,14:30,Tarde,Dortmund,Wolfsburg,H,D
BL,23/09/2023,14:30,Tarde,M'gladbach,RB Leipzig,A,D
BL,23/09/2023,14:30,Tarde,Union Berlin,Hoffenheim,A,A
BL,23/09/2023,17:30,Tarde,Werder Bremen,FC Koln,H,D
BL,24/09/2023,14:30,Tarde,Leverkusen,Heidenheim,H,H
BL,24/09/2023,16:30,Tarde,Ein Frankfurt,Freiburg,D,D
BL,29/09/2023,19:30,Noche,Hoffenheim,Dortmund,A,A
BL,30/09/2023,14:30,Tarde,Bochum,M'gladbach,A,A
BL,30/09/2023,14:30,Tarde,FC Koln,Stuttgart,A,D
BL,30/09/2023,14:30,Tarde,Heidenheim,Union Berlin,H,D
BL,30/09/2023,14:30,Tarde,Mainz,Leverkusen,A,A
BL,30/09/2023,14:30,Tarde,Wolfsburg,Ein Frankfurt,H,H
BL,30/09/2023,17:30,Tarde,RB Leipzig,Bayern Munich,D,H
BL,01/10/2023,14:30,Tarde,Darmstadt,Werder Bremen,H,H
BL,01/10/2023,16:30,Tarde,Freiburg,Augsburg,H,H
BL,06/10/2023,19:30,Noche,M'gladbach,Mainz,D,D
BL,07/10/2023,14:30,Tarde,Augsburg,Darmstadt,A,D
BL,07/10/2023,14:30,Tarde,Dortmund,Union Berlin,H,A
BL,07/10/2023,14:30,Tarde,RB Leipzig,Bochum,D,D
BL,07/10/2023,14:30,Tarde,Stuttgart,Wolfsburg,H,A
BL,07/10/2023,17:30,Tarde,Werder Bremen,Hoffenheim,A,A
BL,08/10/2023,14:30,Tarde,Leverkusen,FC Koln,H,H
BL,08/10/2023,16:30,Tarde,Bayern Munich,Freiburg,H,H
BL,08/10/2023,18:30,Tarde,Ein Frankfurt,Heidenheim,H,H
BL,20/10/2023,19:30,Noche,Dortmund,Werder Bremen,H,D
BL,21/10/2023,14:30,Tarde,Darmstadt,RB Leipzig,A,A
BL,21/10/2023,14:30,Tarde,Freiburg,Bochum,H,H
BL,21/10/2023,14:30,Tarde,Hoffenheim,Ein Frankfurt,A,A
BL,21/10/2023,14:30,Tarde,Union Berlin,Stuttgart,A,A
BL,21/10/2023,14:30,Tarde,Wolfsburg,Leverkusen,A,D
BL,21/10/2023,17:30,Tarde,Mainz,Bayern Munich,A,A
BL,22/10/2023,14:30,Tarde,FC Koln,M'gladbach,H,H
BL,22/10/2023,16:30,Tarde,Heidenheim,Augsburg,A,A
BL,27/10/2023,19:30,Noche,Bochum,Mainz,D,H
BL,28/10/2023,14:30,Tarde,Augsburg,Wolfsburg,H,A
BL,28/10/2023,14:30,Tarde,Bayern Munich,Darmstadt,H,D
BL,28/10/2023,14:30,Tarde,M'gladbach,Heidenheim,H,D
BL,28/10/2023,14:30,Tarde,Stuttgart,Hoffenheim,A,A
BL,28/10/2023,14:30,Tarde,Werder Bremen,Union Berlin,H,H
BL,28/10/2023,17:30,Tarde,RB Leipzig,FC Koln,H,H
BL,29/10/2023,14:30,Tarde,Ein Frankfurt,Dortmund,D,H
BL,29/10/2023,16:30,Tarde,Leverkusen,Freiburg,H,H
BL,03/11/2023,19:30,Noche,Darmstadt,Bochum,A,D
BL,04/11/2023,14:30,Tarde,FC Koln,Augsburg,D,D
BL,04/11/2023,14:30,Tarde,Freiburg,M'gladbach,D,A
BL,04/11/2023,14:30,Tarde,Hoffenheim,Leverkusen,A,A
BL,04/11/2023,14:30,Tarde,Mainz,RB Leipzig,H,D
BL,04/11/2023,14:30,Tarde,Union Berlin,Ein Frankfurt,A,A
BL,04/11/2023,17:30,Tarde,Dortmund,Bayern Munich,A,A
BL,05/11/2023,14:30,Tarde,Wolfsburg,Werder Bremen,D,D
BL,05/11/2023,16:30,Tarde,Heidenheim,Stuttgart,H,D
BL,10/11/2023,19:30,Noche,M'gladbach,Wolfsburg,H,H
BL,11/11/2023,14:30,Tarde,Augsburg,Hoffenheim,D,A
BL,11/11/2023,14:30,Tarde,Bayern Munich,Heidenheim,H,H
BL,11/11/2023,14:30,Tarde,Darmstadt,Mainz,D,D
BL,11/11/2023,14:30,Tarde,Stuttgart,Dortmund,H,D
BL,11/11/2023,17:30,Tarde,Bochum,FC Koln,D,H
BL,12/11/2023,14:30,Tarde,Leverkusen,Union Berlin,H,H
BL,12/11/2023,16:30,Tarde,Werder Bremen,Ein Frankfurt,D,H
BL,12/11/2023,18:30,Tarde,RB Leipzig,Freiburg,H,D
BL,24/11/2023,19:30,Noche,FC Koln,Bayern Munich,A,A
BL,25/11/2023,14:30,Tarde,Dortmund,M'gladbach,H,H
BL,25/11/2023,14:30,Tarde,Freiburg,Darmstadt,D,D
BL,25/11/2023,14:30,Tarde,Union Berlin,Augsburg,D,A
BL,25/11/2023,14:30,Tarde,Werder Bremen,Leverkusen,A,A
BL,25/11/2023,14:30,Tarde,Wolfsburg,RB Leipzig,H,H
BL,25/11/2023,17:30,Tarde,Ein Frankfurt,Stuttgart,A,A
BL,26/11/2023,14:30,Tarde,Heidenheim,Bochum,D,D
BL,26/11/2023,16:30,Tarde,Hoffenheim,Mainz,D,A
BL,01/12/2023,19:30,Noche,Darmstadt,FC Koln,A,D
BL,02/12/2023,14:30,Tarde,Bochum,Wolfsburg,H,H
BL,02/12/2023,14:30,Tarde,M'gladbach,Hoffenheim,H,D
BL,02/12/2023,14:30,Tarde,RB Leipzig,Heidenheim,H,H
BL,02/12/2023,17:30,Tarde,Stuttgart,Werder Bremen,H,H
BL,03/12/2023,14:30,Tarde,Mainz,Freiburg,A,D
BL,03/12/2023,16:30,Tarde,Leverkusen,Dortmund,D,A
BL,03/12/2023,18:30,Tarde,Augsburg,Ein Frankfurt,H,H
BL,08/12/2023,19:30,Noche,Hoffenheim,Bochum,H,H
BL,09/12/2023,14:30,Tarde,Ein Frankfurt,Bayern Munich,H,H
BL,09/12/2023,14:30,Tarde,Heidenheim,Darmstadt,H,H
BL,09/12/2023,14:30,Tarde,Union Berlin,M'gladbach,H,H
BL,09/12/2023,14:30,Tarde,Werder Bremen,Augsburg,H,H
BL,09/12/2023,14:30,Tarde,Wolfsburg,Freiburg,A,D
BL,09/12/2023,17:30,Tarde,Dortmund,RB Leipzig,A,D
BL,10/12/2023,14:30,Tarde,Stuttgart,Leverkusen,D,H
BL,10/12/2023,16:30,Tarde,FC Koln,Mainz,D,D
BL,15/12/2023,19:30,Noche,M'gladbach,Werder Bremen,D,D
BL,16/12/2023,14:30,Tarde,Augsburg,Dortmund,D,D
BL,16/12/2023,14:30,Tarde,Bochum,Union Berlin,H,H
BL,16/12/2023,14:30,Tarde,Darmstadt,Wolfsburg,A,D
BL,16/12/2023,14:30,Tarde,Mainz,Heidenheim,A,A
BL,16/12/2023,17:30,Tarde,RB Leipzig,Hoffenheim,H,D
BL,17/12/2023,14:30,Tarde,Freiburg,FC Koln,H,D
BL,17/12/2023,16:30,Tarde,Leverkusen,Ein Frankfurt,H,H
BL,17/12/2023,18:30,Tarde,Bayern Munich,Stuttgart,H,H
BL,19/12/2023,17:30,Tarde,Werder Bremen,RB Leipzig,D,D
BL,19/12/2023,19:30,Noche,Dortmund,Mainz,D,D
